salary_id,job_id,pay_period,currency,compensation_type,standardized_max_salary,standardized_min_salary,standardized_med_salary,currency_encoded,compensation_type_encoded
34386,3902348001,HOURLY,USD,BASE_SALARY,62400.0,41600.0,62400.0,5,0
34387,3904086992,YEARLY,USD,BASE_SALARY,60000.0,50000.0,60000.0,5,0
34388,3902344655,HOURLY,USD,BASE_SALARY,255613.1251742856,195226.28436716762,195226.28436716762,5,0
34389,3905828598,YEARLY,USD,BASE_SALARY,97200.0,60800.0,63918.309907429066,5,0
34390,3905827896,YEARLY,USD,BASE_SALARY,140000.0,120000.0,120000.0,5,0
34391,3905832304,YEARLY,USD,BASE_SALARY,120000.0,100000.0,100000.0,5,0
34392,3902342848,YEARLY,USD,BASE_SALARY,210000.0,180000.0,180000.0,5,0
34393,3902342847,HOURLY,USD,BASE_SALARY,60320.0,56160.0,60320.0,5,0
34394,3902342853,YEARLY,USD,BASE_SALARY,100000.0,90000.0,90000.0,5,0
34395,3905828881,YEARLY,USD,BASE_SALARY,95000.0,75000.0,75000.0,5,0
34396,3902344775,YEARLY,USD,BASE_SALARY,65.0,60.0,65.0,5,0
34397,3904098068,YEARLY,USD,BASE_SALARY,255613.1251742856,195226.28436716762,195226.28436716762,5,0
34398,3905830878,YEARLY,USD,BASE_SALARY,125.0,125.0,125.0,5,0
34399,3902342871,HOURLY,USD,BASE_SALARY,41600.0,37440.0,41600.0,5,0
34400,3905829853,YEARLY,USD,BASE_SALARY,95000.0,75000.0,75000.0,5,0
34401,3904086919,HOURLY,USD,BASE_SALARY,166400.0,135200.0,135200.0,5,0
34402,3905832331,HOURLY,USD,BASE_SALARY,54080.0,37440.0,54080.0,5,0
34403,3905828869,YEARLY,USD,BASE_SALARY,160000.0,110000.0,110000.0,5,0
