company_id,employee_count,follower_count,time_recorded
1200217,42,365,2024-04-11 18:14:51
3263648,35,21780,2024-04-11 18:14:51
81544760,45,63,2024-04-11 18:14:51
46763,2494,28712,2024-04-11 18:14:51
947715,1388,178206,2024-04-11 18:14:51
1524968,250,1409,2024-04-11 18:14:51
3366591,93,8477,2024-04-11 18:15:29
809397,6792,66048,2024-04-11 18:15:29
853360,186,7461,2024-04-11 18:15:29
79730635,3,156,2024-04-11 18:15:29
327639,2447,14961,2024-04-11 18:15:29
27093959,32,103,2024-04-11 18:15:29
12609607,26,1384,2024-04-11 18:15:29
66292838,388,7295,2024-04-11 18:15:29
23757062,81,3564,2024-04-11 18:15:29
427273,3361,119118,2024-04-11 18:15:29
5275893,281,12157,2024-04-11 18:15:29
74772057,15,22667,2024-04-11 18:15:29
100984,616,2695,2024-04-11 18:15:29
35470180,52,3493,2024-04-11 18:15:29
490656,275,8800,2024-04-11 18:15:29
9203486,3,75,2024-04-11 18:15:29
71031,64,2661,2024-04-11 18:15:29
10402,7054,23857,2024-04-11 18:15:29
101674898,1,2,2024-04-11 18:15:29
809397,6795,66048,2024-04-11 18:15:29
7602005,60,14724,2024-04-11 18:15:29
731128,239,233341,2024-04-11 18:15:29
23982,7829,93905,2024-04-11 18:15:29
54322801,10,11953,2024-04-11 18:15:29
2286723,65,1790,2024-04-11 18:15:29
9428125,208,47864,2024-04-11 18:15:29
81878,4204,56021,2024-04-11 18:17:09
33125878,130,49368,2024-04-11 18:17:09
5007,9580,83055,2024-04-11 18:17:09
26574100,44,14525,2024-04-11 18:17:09
15853,991,18658,2024-04-11 18:17:09
79815,206,35538,2024-04-11 18:17:09
35532390,397,22886,2024-04-11 18:17:09
22937,707,87104,2024-04-11 18:17:09
2422099,941,36605,2024-04-11 18:17:09
96159298,6,1,2024-04-11 18:17:09
94916527,0,0,2024-04-11 18:17:09
224935,300,124743,2024-04-11 18:17:09
100224856,0,58,2024-04-11 18:17:09
81878,4209,56021,2024-04-11 18:17:09
54133,1518,12454,2024-04-11 18:17:09
2604,23940,796797,2024-04-11 18:17:09
65803679,10,694,2024-04-11 18:17:09
82695521,44,20000,2024-04-11 18:17:09
19161931,89,10582,2024-04-11 18:17:09
2213829,325,29824,2024-04-11 18:17:09
93942,126,105367,2024-04-11 18:17:09
1514335,31,806,2024-04-11 18:17:09
81506632,19,1377,2024-04-11 18:17:09
3026495,2,6869,2024-04-11 18:17:09
6372379,34,146,2024-04-11 18:17:09
1199482,294,151605,2024-04-11 18:17:09
27825,4957,79447,2024-04-11 18:17:09
105950,1016,11170,2024-04-11 18:17:09
999780,25,32368,2024-04-11 18:17:09
23160,656,4901,2024-04-11 18:17:09
10813252,14,2984,2024-04-11 18:17:09
269609,77,1291,2024-04-11 18:17:09
72344835,5,15383,2024-04-11 18:17:22
299338,1343,5080,2024-04-11 18:17:22
14439975,12,432,2024-04-11 18:17:22
822408,2014,39164,2024-04-11 18:20:24
32391,180,22919,2024-04-11 18:20:24
501073,834,1921,2024-04-11 18:20:24
33295877,4172,303932,2024-04-11 18:20:24
15262835,1012,82949,2024-04-11 18:20:24
76987811,27760,328540,2024-04-11 18:20:24
1369051,482,1535,2024-04-11 18:20:24
3634748,27,26228,2024-04-11 18:20:24
58783920,7,148,2024-04-11 18:20:24
69999759,3,30,2024-04-11 18:20:24
2226943,110,1959,2024-04-11 18:20:24
1166417,391,11718,2024-04-11 18:20:24
80837939,42,3721,2024-04-11 18:20:24
10852401,434,4189,2024-04-11 18:20:24
1121995,6,20131,2024-04-11 18:20:24
10485992,71,125800,2024-04-11 18:20:24
95043879,820,9101,2024-04-11 18:20:24
2646,430477,4081073,2024-04-11 18:20:24
42916212,66,579,2024-04-11 18:20:24
1010123,105,11983,2024-04-11 18:20:24
2316216,597,33028,2024-04-11 18:20:24
79011799,35,34162,2024-04-11 18:20:24
27206033,32,967,2024-04-11 18:20:24
88236,67,129890,2024-04-11 18:20:24
19090238,10,6026,2024-04-11 18:20:24
15317525,8,9444,2024-04-11 18:20:24
4348467,1801,4112,2024-04-11 18:20:24
107021,285,64964,2024-04-11 18:20:24
413796,137,126861,2024-04-11 18:20:24
